minutes,mean_intensity
-1,5.457
-0.5,5.482
0,1.782
0.5,2.039
1,2.224
1.5,2.401
2,2.216
2.5,1.647
3,1.964
3.5,2.583
4,2.591
4.5,2.485
5,2.585
5.5,2.56
6,2.77
6.5,2.728
7,3.409
7.5,2.728
8,2.916
8.5,5.042
9,5.042
9.5,4.459
10,4.796
10.5,5.263
11,5.91
11.5,5.927
12,4.258
12.5,4.23
13,4.134
13.5,4.924
14,5.252
14.5,5.768
15,5.188
15.5,4.821
16,5.188
16.5,5.008
17,4.496
17.5,3.964
18,4.723
18.5,3.462
19,3.557
19.5,4.006
20,3.966
20.5,3.384
21,3.619
21.5,4.754
22,4.451
22.5,5.902
23,6.445
23.5,6.978
24,7.664
24.5,7.305
25,6.557
25.5,5.885
26,5.885
26.5,5.891
27,5.697
27.5,5.468
28,5.098
28.5,4.473
29,5.877
