minutes,mean_intensity
-1,7.257
-0.5,7.07
0,7.533
0.5,7.067
1,7.861
1.5,7.948
2,7.385
2.5,8.293
3,8.396
3.5,8.043
4,7.604
4.5,7.352
5,6.972
5.5,7.091
6,6.817
6.5,5.957
7,6.517
7.5,6.878
8,6.791
8.5,5.763
9,6.635
9.5,6.028
10,5.539
10.5,4.952
11,4.789
11.5,5.676
12,5.685
12.5,5.772
13,5.17
13.5,4.811
14,5.23
14.5,5.322
15,5.124
15.5,5.211
16,5.437
16.5,4.448
17,5.302
17.5,5.43
18,5.796
18.5,5.154
19,4.987
19.5,4.861
20,4.022
20.5,4.9
21,5.511
21.5,4.702
22,3.867
22.5,4.072
23,4.87
23.5,5.435
24,4.685
24.5,4.117
25,4.724
25.5,4.493
26,4.741
26.5,4.835
27,5.139
27.5,5.183
28,4.813
28.5,4.157
29,4.537
