seconds,mean_intensity
-20,4.587
-10,4.387
0,1.23
10,1.347
20,1.214
30,1.119
40,1.498
50,1.347
60,1.401
70,1.391
80,1.206
90,1.278
100,1.329
110,1.379
120,1.573
130,1.702
140,1.677
150,1.552
160,1.567
170,1.571
180,1.444
190,1.605
200,1.393
210,1.458
220,1.48
230,1.442
240,1.774
250,1.607
260,1.925
270,2.014
280,1.764
290,1.786
300,1.984
310,1.74
320,1.839
330,1.766
340,1.726
350,1.837
360,1.976
370,2.032
380,1.817
390,2.006
400,2.008
410,1.841
420,1.716
430,1.75
440,1.637
450,1.877
460,2.008
470,1.484
