seconds,mean_intensity
-20,11.703
-10,11.265
0,10.826
10,10.044
20,10.609
30,9.763
40,9.208
50,9.006
60,8.353
70,8.328
80,8.726
90,8.218
100,7.965
110,8.442
120,9.044
130,8.703
140,8.41
150,9.047
160,9.18
170,9.984
180,8.621
190,7.59
200,7.158
210,7.344
220,7.511
230,7.467
240,7.328
250,7.183
260,8
270,8.101
280,7.12
290,8.013
300,8.073
310,8.438
320,8.202
330,7.521
340,7.256
350,7.338
360,7.445
370,7.896
380,6.568
390,7.303
400,7.498
410,7.562
420,6.902
430,6.719
440,7.006
450,6.697
460,8.902
470,8.334
