seconds,mean_intensity
-20,10.442
-10,11.161
0,4.079
10,4.78
20,5.679
30,5.756
40,5.812
50,6.335
60,5.897
70,6.165
80,7.156
90,7.293
100,6.865
110,7.434
120,6.914
130,6.62
140,7.367
150,7.83
160,7.34
170,8.383
180,9.147
190,9.697
200,8.46
210,8.127
220,9.757
230,10.723
240,10.907
250,10.39
260,9.753
270,9.263
280,8.003
290,9.453
300,8.577
310,9.71
320,9.733
330,10.823
340,10.792
350,13.788
360,11.039
370,12.522
380,12.635
390,14.494
400,14.165
410,10.318
420,9.596
430,8.894
440,8.945
450,9.251
460,8.918
470,8.396
