seconds,mean_intensity
-20,7.653
-10,7.641
0,7.012
10,6.488
20,5.271
30,5.882
40,5.853
50,5.206
60,6.382
70,5.276
80,4.829
90,4.965
100,4.912
110,5.129
120,5.741
130,4.165
140,6.282
150,5.494
160,5.018
170,5.118
180,4.524
190,4.876
200,5.129
210,5.076
220,6.029
230,5.8
240,6.706
250,6.318
260,5.547
270,6.582
280,6.694
290,6.953
300,7.124
310,6.941
320,5.741
330,5.712
340,5.453
350,4.894
360,4.771
370,6.312
380,5.324
390,5.153
400,4.835
410,4.241
420,6.4
430,5.5
440,4.318
450,5.471
460,6.441
470,5.259
