seconds,mean_intensity
-20,2.066
-10,2.334
0,1.472
10,1.790
20,1.993
30,1.907
40,1.903
50,1.790
60,1.872
70,1.745
80,1.903
90,1.986
100,1.852
110,1.752
120,2.176
130,2.007
140,2.355
150,2.386
160,2.717
170,2.376
180,2.114
190,2.841
200,2.903
210,2.424
220,2.448
230,2.252
240,2.410
250,2.497
260,2.562
270,2.210
280,2.362
290,2.355
300,2.683
310,2.300
320,2.390
330,3.072
340,3.107
350,2.652
360,2.183
370,2.366
380,1.993
390,1.931
400,1.828
410,2.052
420,2.793
430,1.831
440,2.417
450,2.110
460,2.300
470,2.007
