seconds,mean_intensity
-20,6.155
-10,5.796
0,5.556
10,6.112
20,5.559
30,5.056
40,5.158
50,5.707
60,5.76
70,5.714
80,5.589
90,5.997
100,6.954
110,7.151
120,6.395
130,5.75
140,6.286
150,4.793
160,5.164
170,5.234
180,5.484
190,4.849
200,4.638
210,4.622
220,5.385
230,4.97
240,5.27
250,5.109
260,4.661
270,4.592
280,4.993
290,4.753
300,5.151
310,4.092
320,3.664
330,4.069
340,4.148
350,4.026
360,3.332
370,3.757
380,3.424
390,4.099
400,3.757
410,3.951
420,3.954
430,3.559
440,3.711
450,3.214
460,3.859
470,3.47
