seconds,mean_intensity
-20,3.811
-10,3.304
0,1.694
10,1.848
20,2.074
30,2.285
40,2.47
50,2.406
60,2.344
70,2.704
80,2.731
90,2.694
100,2.843
110,2.687
120,2.437
130,2.343
140,3.067
150,2.863
160,2.726
170,2.996
180,2.652
190,2.944
200,2.622
210,2.657
220,2.859
230,2.781
240,2.931
250,2.702
260,2.828
270,2.731
280,3.013
290,3.407
300,2.948
310,2.876
320,2.746
330,2.433
340,2.593
350,2.735
360,2.798
370,2.65
380,2.487
390,2.217
400,2.222
410,2.237
420,2.494
430,2.38
440,2.243
450,2.811
460,2.68
470,2.948
