seconds,mean_intensity
-20,5.958
-10,6.577
0,5.804
10,5.621
20,5.974
30,6.086
40,5.12
50,5.235
60,4.963
70,5.287
80,5.248
90,5.36
100,4.961
110,5.373
120,4.867
130,4.883
140,4.42
150,4.924
160,3.966
170,3.846
180,4.102
190,3.449
200,3.478
210,3.841
220,3.452
230,3.339
240,3.684
250,3.107
260,3.05
270,2.783
280,3.178
290,2.927
300,2.786
310,3.159
320,3.789
330,3.112
340,3.392
350,2.883
360,2.982
370,3.371
380,2.956
390,4.261
400,3.347
410,2.849
420,2.572
430,3.444
440,2.911
450,3.091
460,3.23
470,3.488
