seconds,mean_intensity
-20,1.779
-10,1.758
0,0.649
10,1.034
20,1.004
30,1.475
40,1.584
50,1.721
60,1.623
70,1.640
80,1.510
90,1.793
100,1.420
110,1.631
120,1.657
130,1.821
140,1.557
150,1.497
160,1.629
170,1.620
180,1.659
190,1.642
200,1.537
210,1.682
220,1.834
230,1.808
240,1.661
250,1.719
260,1.876
270,1.744
280,1.727
290,1.518
300,1.855
310,1.917
320,1.772
330,1.814
340,2.011
350,1.802
360,1.704
370,1.744
380,1.814
390,1.548
400,1.853
410,1.996
420,2.000
430,1.746
440,1.495
450,1.606
460,1.670
470,1.588
