seconds,mean_intensity
-20,3.210
-10,3.351
0,3.085
10,2.847
20,3.181
30,3.058
40,2.866
50,2.825
60,2.994
70,2.750
80,2.953
90,2.697
100,2.676
110,2.936
120,2.986
130,2.994
140,3.324
150,2.841
160,2.979
170,3.122
180,3.023
190,3.066
200,3.375
210,2.872
220,3.091
230,3.008
240,3.223
250,3.035
260,2.744
270,2.736
280,3.099
290,2.897
300,3.153
310,2.847
320,2.967
330,3.008
340,2.990
350,3.091
360,3.225
370,3.171
380,3.361
390,3.004
400,2.903
410,3.239
420,3.033
430,2.711
440,2.790
450,2.893
460,2.932
