,condition,sample,region_type,roi,t_step,t_sec,t_min,mean_intensity
0,Fat2_8min,1,bleached,1,0,-20,-0.3333333333333333,11.040999999999999
1,Fat2_8min,1,bleached,1,1,-10,-0.16666666666666666,10.644
2,Fat2_8min,1,bleached,1,2,0,0.0,1.962
3,Fat2_8min,1,bleached,1,3,10,0.16666666666666666,1.91
4,Fat2_8min,1,bleached,1,4,20,0.3333333333333333,2.185
5,Fat2_8min,1,bleached,1,5,30,0.5,2.6439999999999997
6,Fat2_8min,1,bleached,1,6,40,0.6666666666666666,2.244
7,Fat2_8min,1,bleached,1,7,50,0.8333333333333334,2.126
8,Fat2_8min,1,bleached,1,8,60,1.0,2.195
9,Fat2_8min,1,bleached,1,9,70,1.1666666666666667,1.892
10,Fat2_8min,1,bleached,1,10,80,1.3333333333333333,2.267
11,Fat2_8min,1,bleached,1,11,90,1.5,2.451
12,Fat2_8min,1,bleached,1,12,100,1.6666666666666667,2.344
13,Fat2_8min,1,bleached,1,13,110,1.8333333333333333,2.99
14,Fat2_8min,1,bleached,1,14,120,2.0,3.095
15,Fat2_8min,1,bleached,1,15,130,2.1666666666666665,3.056
16,Fat2_8min,1,bleached,1,16,140,2.3333333333333335,2.892
17,Fat2_8min,1,bleached,1,17,150,2.5,3.19
18,Fat2_8min,1,bleached,1,18,160,2.6666666666666665,2.6439999999999997
19,Fat2_8min,1,bleached,1,19,170,2.8333333333333335,3.1639999999999997
20,Fat2_8min,1,bleached,1,20,180,3.0,2.6689999999999996
21,Fat2_8min,1,bleached,1,21,190,3.1666666666666665,3.0669999999999997
22,Fat2_8min,1,bleached,1,22,200,3.3333333333333335,2.903
23,Fat2_8min,1,bleached,1,23,210,3.5,2.818
24,Fat2_8min,1,bleached,1,24,220,3.6666666666666665,2.7739999999999996
25,Fat2_8min,1,bleached,1,25,230,3.8333333333333335,2.759
26,Fat2_8min,1,bleached,1,26,240,4.0,2.5869999999999997
27,Fat2_8min,1,bleached,1,27,250,4.166666666666667,2.923
28,Fat2_8min,1,bleached,1,28,260,4.333333333333333,3.205
29,Fat2_8min,1,bleached,1,29,270,4.5,3.1689999999999996
30,Fat2_8min,1,bleached,1,30,280,4.666666666666667,3.497
31,Fat2_8min,1,bleached,1,31,290,4.833333333333333,2.254
32,Fat2_8min,1,bleached,1,32,300,5.0,2.659
33,Fat2_8min,1,bleached,1,33,310,5.166666666666667,2.244
34,Fat2_8min,1,bleached,1,34,320,5.333333333333333,2.515
35,Fat2_8min,1,bleached,1,35,330,5.5,2.279
36,Fat2_8min,1,bleached,1,36,340,5.666666666666667,2.1180000000000003
37,Fat2_8min,1,bleached,1,37,350,5.833333333333333,2.244
38,Fat2_8min,1,bleached,1,38,360,6.0,2.8310000000000004
