,position (um),Ecad intensity,Abi intensity
0,0.0,23.6159,5.20586
1,0.0689,22.8285,5.28659
2,0.1378,23.1153,5.37045
3,0.2067,20.9499,5.64895
4,0.2756,19.2985,5.21432
5,0.3445,17.7573,3.72272
6,0.4134,18.8584,3.25603
7,0.4823,21.2941,2.40069
8,0.5512,19.5336,2.3878
9,0.6201,17.2855,3.51276
10,0.6889,15.8495,3.18801
11,0.7578,11.1851,3.3495
12,0.8267,10.0402,4.10081
13,0.8956,8.6531,3.80622
14,0.9645,8.9168,4.03854
15,1.0334,8.5898,3.25729
16,1.1023,8.9129,2.62355
17,1.1712,10.3779,2.61416
18,1.2401,10.5302,2.0983
19,1.309,7.851,2.16122
20,1.3779,6.7239,1.34412
21,1.4468,9.7813,1.43512
22,1.5157,9.6143,1.79515
23,1.5846,8.6615,3.00711
24,1.6535,10.5074,2.29327
25,1.7224,9.8545,1.70818
26,1.7913,10.3936,1.29238
27,1.8602,11.0784,0.98276
28,1.929,7.5455,0.66663
29,1.9979,7.4243,1.02305
30,2.0668,8.0456,1.14489
31,2.1357,8.7314,0.92038
32,2.2046,8.0973,0.77547
33,2.2735,9.1813,1.21769
34,2.3424,9.4297,1.37661
35,2.4113,9.0461,1.41061
36,2.4802,9.5924,1.63295
37,2.5491,11.107,1.74257
38,2.618,11.8795,2.36816
39,2.6869,11.2293,1.77113
40,2.7558,11.3028,1.62269
41,2.8247,10.4728,2.26092
42,2.8936,10.2494,2.68782
43,2.9625,9.1808,2.77262
44,3.0314,8.8804,3.1283
45,3.1003,11.3831,3.41881
46,3.1691,12.1052,4.17233
47,3.238,13.3454,3.74599
48,3.3069,16.8542,5.28358
49,3.3758,20.1429,7.18303
50,3.4447,20.9107,7.15101
51,3.5136,20.5577,6.03012
52,3.5825,19.0835,5.97516
53,3.6514,19.6965,4.18597
54,3.7203,20.3945,2.35122
55,3.7892,19.5658,1.41298
56,3.8581,17.2528,2.23024
57,3.927,19.2864,2.05456
58,3.9959,20.2287,1.67416
59,4.0648,18.3033,1.60857
60,4.1337,14.7421,1.66045
61,4.2026,12.4023,1.73159
62,4.2715,14.2209,1.25609
63,4.3404,14.4297,1.75572
64,4.4092,11.034,1.21285
65,4.4781,8.7929,1.36706
66,4.547,9.9474,1.60932
67,4.6159,10.5909,1.15573
68,4.6848,12.1057,1.28398
69,4.7537,9.852,0.91872
70,4.8226,10.3489,0.89461
71,4.8915,8.9187,1.21714
72,4.9604,8.3189,1.69648
73,5.0293,5.9734,1.17787
74,5.0982,5.5229,1.18418
75,5.1671,6.8376,0.91061
76,5.236,7.308,1.00264
77,5.3049,7.3835,1.33645
78,5.3738,6.664,1.67882
79,5.4427,7.7629,1.29686
80,5.5116,7.1798,1.73438
81,5.5805,8.4451,0.91444
82,5.6493,7.957,1.51432
83,5.7182,7.1587,1.2512
84,5.7871,8.1206,1.10323
85,5.856,9.0951,1.19751
86,5.9249,7.4747,1.63515
87,5.9938,9.8119,1.05482
88,6.0627,9.5248,1.04216
89,6.1316,10.17,0.72549
90,6.2005,10.3607,0.89069
91,6.2694,10.4666,1.05636
92,6.3383,11.7093,1.73466
93,6.4072,13.1432,1.98338
94,6.4761,11.9626,1.95785
95,6.545,16.589,2.10103
96,6.6139,14.592,1.78803
97,6.6828,16.1635,2.53412
98,6.7517,16.7401,2.8438
99,6.8206,16.2145,2.64091
100,6.8894,16.8182,2.83822
101,6.9583,15.4835,2.36111
102,7.0272,15.9943,2.33695
103,7.0961,16.0888,2.02536
104,7.165,18.4405,1.95867
105,7.2339,17.3973,2.90525
106,7.3028,16.9339,2.29629
107,7.3717,15.3861,2.41927
108,7.4406,18.7112,2.52468
109,7.5095,14.8817,3.12099
