,position (um),Fat2 intensity,Abi intensity
0,0.0,29.6372,2.3288
1,0.0689,24.9476,2.613
2,0.1378,21.363,2.195
3,0.2067,17.8879,2.6252
4,0.2756,17.0081,2.035
5,0.3445,22.7515,1.9013
6,0.4134,31.5884,2.1823
7,0.4823,47.0168,2.6563
8,0.5512,65.971,3.6074
9,0.6201,74.7666,4.5377
10,0.6889,76.6129,4.2307
11,0.7578,68.7797,4.5606
12,0.8267,58.8043,4.3677
13,0.8956,47.4951,3.0093
14,0.9645,29.1097,2.576
15,1.0334,16.4514,2.4388
16,1.1023,14.889,2.0047
17,1.1712,20.9796,1.8804
18,1.2401,25.8705,1.5668
19,1.309,19.2625,0.9033
20,1.3779,16.8488,0.6524
21,1.4468,20.5657,0.8219
22,1.5157,21.2982,0.8113
23,1.5846,20.1197,1.0857
24,1.6535,16.3004,0.723
25,1.7224,13.514,0.9813
26,1.7913,10.7916,1.267
27,1.8602,13.9754,0.9923
28,1.929,10.3905,1.2065
29,1.9979,9.4959,0.9103
30,2.0668,7.2961,0.7543
31,2.1357,7.2398,0.8091
32,2.2046,7.018,0.4763
33,2.2735,7.3088,0.8148
34,2.3424,9.5814,0.6719
35,2.4113,8.0194,1.0921
36,2.4802,6.0374,1.2118
37,2.5491,5.0483,1.0461
38,2.618,6.9685,1.4358
39,2.6869,6.7158,1.1156
40,2.7558,6.3804,0.9975
41,2.8247,5.1479,1.1929
42,2.8936,5.2014,1.1368
43,2.9625,7.5298,1.0728
44,3.0314,6.8915,1.0341
45,3.1003,8.2161,1.4582
46,3.1691,9.2003,1.3356
47,3.238,10.0375,1.7761
48,3.3069,12.191,1.7954
49,3.3758,18.2892,2.5677
50,3.4447,26.7563,2.3697
51,3.5136,38.4907,3.1214
52,3.5825,38.2658,2.9992
53,3.6514,28.1061,2.4406
54,3.7203,23.1737,1.5666
55,3.7892,18.2084,1.8302
56,3.8581,13.8925,2.0183
57,3.927,11.1894,2.0909
58,3.9959,10.011,1.658
59,4.0648,7.0304,1.529
60,4.1337,5.2954,1.0501
61,4.2026,5.1777,1.0696
62,4.2715,4.4347,0.7834
63,4.3404,3.3754,0.6655
64,4.4092,4.0271,0.6084
65,4.4781,3.9791,1.0562
66,4.547,5.2129,0.8457
67,4.6159,7.061,0.4887
68,4.6848,9.1007,0.6852
69,4.7537,13.9439,1.2988
70,4.8226,15.2089,1.8053
71,4.8915,13.5647,1.2362
72,4.9604,10.654,1.3416
73,5.0293,9.0086,1.8334
74,5.0982,6.5834,1.2104
75,5.1671,5.3168,0.876
76,5.236,7.8448,1.0781
77,5.3049,8.8913,1.3163
78,5.3738,9.5988,1.2954
79,5.4427,11.3977,1.6171
80,5.5116,13.4435,1.6958
