,position (um),Lar intensity,Abi intensity
0,0.0,24.9628,9.5057
1,0.0689,20.8806,7.9905
2,0.1378,20.7533,8.0991
3,0.2067,21.8097,7.8972
4,0.2756,25.2368,6.4713
5,0.3445,22.93,6.9817
6,0.4134,20.1664,7.3757
7,0.4823,12.5568,7.0767
8,0.5512,10.2254,6.0439
9,0.6201,7.1383,6.0656
10,0.6889,9.3284,6.8142
11,0.7578,13.1518,6.6281
12,0.8267,15.2864,6.6057
13,0.8956,19.221,7.9441
14,0.9645,31.0134,8.7592
15,1.0334,33.8384,7.9287
16,1.1023,34.4395,7.9709
17,1.1712,30.0285,6.193
18,1.2401,31.3505,6.3534
19,1.309,32.6272,5.5893
20,1.3779,29.5524,5.5717
21,1.4468,28.9895,5.9358
22,1.5157,27.9834,5.8237
23,1.5846,27.4061,6.6046
24,1.6535,24.8821,6.688
25,1.7224,23.0748,7.3147
26,1.7913,23.7157,7.6316
27,1.8602,23.9751,7.586
28,1.929,30.5827,9.7368
29,1.9979,40.219,12.5354
30,2.0668,44.9065,14.1271
31,2.1357,45.2983,15.2839
32,2.2046,48.7579,14.4337
33,2.2735,42.2035,13.1276
34,2.3424,33.1761,10.5835
35,2.4113,25.6708,7.1863
36,2.4802,21.0298,6.1286
37,2.5491,18.8715,5.6447
38,2.618,19.9604,5.2894
39,2.6869,20.1436,6.8804
40,2.7558,23.7712,6.5587
41,2.8247,25.4493,7.1062
42,2.8936,26.9132,6.2094
43,2.9625,25.7397,7.1666
44,3.0314,30.9267,8.1912
45,3.1003,29.0876,8.968
46,3.1691,23.5959,6.9905
47,3.238,19.2099,5.8944
48,3.3069,14.8329,4.6284
49,3.3758,14.0472,4.8955
50,3.4447,16.9216,4.8806
51,3.5136,17.3176,4.6724
52,3.5825,15.1667,4.6738
53,3.6514,12.7344,3.9597
54,3.7203,10.1426,2.9128
55,3.7892,7.7976,3.5511
56,3.8581,7.6365,4.1174
57,3.927,7.6577,4.0749
58,3.9959,6.453,4.1892
59,4.0648,6.9036,4.8759
60,4.1337,7.512,5.9449
61,4.2026,11.8825,4.845
62,4.2715,15.383,4.4865
63,4.3404,13.5568,4.1217
64,4.4092,11.1626,4.5871
65,4.4781,9.1571,3.6287
66,4.547,7.2627,2.6498
67,4.6159,6.1401,3.175
68,4.6848,7.0848,2.8276
69,4.7537,5.6592,3.2392
70,4.8226,5.395,3.4371
71,4.8915,3.6252,2.3101
72,4.9604,4.5307,2.9686
73,5.0293,4.8792,3.7013
74,5.0982,4.8634,2.8188
75,5.1671,5.1442,2.659
76,5.236,5.7514,3.7453
77,5.3049,6.0498,3.0883
78,5.3738,6.1629,2.546
79,5.4427,7.5031,3.1702
80,5.5116,12.13,3.8887
81,5.5805,18.046,4.4707
82,5.6493,18.8655,4.7369
83,5.7182,19.0835,4.9659
84,5.7871,14.1208,6.1342
85,5.856,13.1222,7.0551
86,5.9249,12.5928,7.3415
87,5.9938,12.3104,6.0182
88,6.0627,11.9273,5.8898
89,6.1316,11.6661,5.7446
90,6.2005,7.6868,4.7277
91,6.2694,8.7026,4.8883
92,6.3383,5.7709,4.3287
93,6.4072,6.0931,4.0171
94,6.4761,6.8601,4.6601
95,6.545,8.9385,5.1782
96,6.6139,12.7664,4.5104
97,6.6828,15.024,4.7174
98,6.7517,18.9432,6.3513
99,6.8206,15.0505,7.5032
100,6.8894,13.7452,6.0059
101,6.9583,12.8992,5.7519
102,7.0272,10.7501,4.7778
103,7.0961,10.4361,5.5541
104,7.165,10.0277,4.9788
105,7.2339,6.7442,5.7031
106,7.3028,7.5414,5.9077
107,7.3717,9.1833,4.6076
108,7.4406,11.9706,3.8997
109,7.5095,13.791,4.4569
110,7.5784,15.7063,4.4926
111,7.6473,15.5244,4.2097
112,7.7162,14.6553,4.2512
113,7.7851,13.1035,4.7446
114,7.854,13.6964,4.5052
115,7.9229,13.3762,5.8359
116,7.9918,13.1928,6.4634
117,8.0607,15.9769,7.2372
118,8.1296,23.1572,7.2621
119,8.1984,26.9335,8.0994
120,8.2673,27.4187,9.3336
121,8.3362,24.7907,9.2801
122,8.4051,25.0819,9.2308
123,8.474,24.3966,9.2848
124,8.5429,21.6074,8.874
125,8.6118,22.2487,8.1069
126,8.6807,16.4018,6.4645
127,8.7496,11.3563,7.1021
128,8.8185,9.5803,6.682
129,8.8874,10.3172,6.1597
130,8.9563,9.8847,4.1047
131,9.0252,10.8702,3.5996
132,9.0941,12.314,4.5284
133,9.163,11.5959,3.9211
134,9.2319,7.7079,4.257
135,9.3008,8.1427,2.9822
136,9.3697,7.0022,3.3523
137,9.4385,6.2111,3.3507
138,9.5074,10.3865,3.3271
139,9.5763,12.4808,2.9246
140,9.6452,14.6942,2.9384
141,9.7141,13.6101,4.2676
142,9.783,16.8458,5.0956
143,9.8519,25.2118,5.6022
144,9.9208,29.5452,7.0973
145,9.9897,27.8259,7.3697
146,10.0586,24.8833,6.7794
147,10.1275,25.738,7.1105
148,10.1964,26.3977,7.2827
149,10.2653,35.1992,7.9186
150,10.3342,50.8597,9.3604
151,10.4031,59.5444,11.831
152,10.472,59.9303,12.3142
153,10.5409,55.5922,10.5115
154,10.6098,52.7151,10.4295
155,10.6786,36.8021,9.7676
156,10.7475,25.2406,7.8431
157,10.8164,19.6613,6.1754
158,10.8853,13.8594,6.7059
159,10.9542,14.0458,5.774
160,11.0231,10.7804,4.6241
161,11.092,13.1698,4.355
162,11.1609,18.1709,4.0003
163,11.2298,18.0186,5.4677
164,11.2987,17.3194,6.1456
165,11.3676,22.2124,5.1775
166,11.4365,24.1097,4.4758
167,11.5054,22.1191,3.7275
168,11.5743,15.0325,3.6991
169,11.6432,10.5516,4.103
170,11.7121,9.368,4.6567
171,11.781,11.5212,5.0893
172,11.8499,9.8236,5.0632
173,11.9187,10.8947,5.0732
174,11.9876,16.6171,5.0856
175,12.0565,19.4125,5.1386
176,12.1254,14.5767,4.511
177,12.1943,12.6476,4.6997
178,12.2632,10.0028,3.4309
179,12.3321,9.8928,3.6836
180,12.401,8.7441,3.6637
181,12.4699,6.8586,3.3911
182,12.5388,5.6117,4.3625
183,12.6077,6.9538,5.0653
184,12.6766,9.2302,3.7291
185,12.7455,10.5702,3.3305
186,12.8144,12.7416,4.7337
187,12.8833,14.6744,3.9195
188,12.9522,17.4033,4.3397
189,13.0211,21.1066,5.5482
190,13.09,20.7309,6.3567
191,13.1588,14.857,7.0371
192,13.2277,13.5161,5.7013
193,13.2966,11.6114,4.2683
194,13.3655,13.8118,3.4371
195,13.4344,14.8431,4.1892
196,13.5033,14.0815,4.37
197,13.5722,11.9488,5.0269
198,13.6411,10.1962,4.2675
199,13.71,12.183,3.8773
200,13.7789,13.6623,4.5151
201,13.8478,15.067,6.0392
202,13.9167,15.4015,5.8698
203,13.9856,17.3686,5.4409
204,14.0545,24.2368,6.065
205,14.1234,22.979,6.2808
206,14.1923,22.3563,6.9373
207,14.2612,29.1173,7.4592
208,14.3301,34.9316,10.3523
209,14.3989,37.1217,9.8537
210,14.4678,41.6633,9.4807
211,14.5367,46.4905,13.1609
212,14.6056,47.5219,14.6989
213,14.6745,44.9367,12.2096
214,14.7434,37.7735,11.6572
215,14.8123,31.7528,9.8954
216,14.8812,22.413,8.0816
217,14.9501,18.442,7.2087
218,15.019,14.4031,6.7838
219,15.0879,11.2283,5.0595
220,15.1568,10.3462,4.7219
221,15.2257,8.0502,4.0675
222,15.2946,5.4801,4.3195
223,15.3635,4.7141,3.8064
224,15.4324,4.6108,3.3202
225,15.5013,3.707,3.4824
226,15.5702,3.981,5.2438
227,15.6391,4.4569,5.5988
228,15.7079,3.781,5.4824
229,15.7768,3.5781,4.5748
230,15.8457,4.1343,4.7458
231,15.9146,5.7431,4.8946
232,15.9835,8.7735,5.1714
233,16.0524,9.5915,4.6029
234,16.1213,9.9156,4.561
235,16.1902,9.9768,5.2407
236,16.2591,11.9016,6.567
237,16.328,11.7561,5.6808
238,16.3969,13.1768,5.0501
239,16.4658,12.2807,4.9065
240,16.5347,9.8538,5.7931
241,16.6036,10.5534,5.0594
242,16.6725,14.0279,4.4656
243,16.7414,15.9277,4.9341
244,16.8103,13.952,3.9951
245,16.8792,13.6822,4.1654
246,16.948,17.7927,4.519
247,17.0169,24.5902,6.0021
248,17.0858,30.5146,6.3368
249,17.1547,29.7924,6.2748
250,17.2236,24.0734,6.5718
251,17.2925,20.3409,6.2279
252,17.3614,13.4717,5.5449
253,17.4303,14.4288,5.3659
254,17.4992,18.961,6.505
255,17.5681,23.6895,7.0924
256,17.637,21.4637,8.29
257,17.7059,19.6832,6.7621
258,17.7748,14.4982,5.5181
259,17.8437,11.7815,6.1197
260,17.9126,13.859,5.8713
261,17.9815,13.6364,5.3511
262,18.0504,13.1658,5.1506
263,18.1193,12.5839,4.3272
264,18.1881,11.9417,4.0445
265,18.257,8.297,3.8194
266,18.3259,9.23,3.409
267,18.3948,9.7291,4.7965
268,18.4637,11.0966,4.9218
269,18.5326,15.8946,4.763
270,18.6015,18.3352,3.5574
271,18.6704,24.9882,4.1082
272,18.7393,28.5682,5.4573
273,18.8082,38.7544,6.0286
274,18.8771,49.3123,6.7852
275,18.946,63.0612,8.53
276,19.0149,64.5385,9.2384
277,19.0838,58.1465,9.8629
278,19.1527,45.656,9.0062
279,19.2216,33.2557,8.9548
280,19.2905,29.8627,8.4987
281,19.3594,32.1027,8.4233
282,19.4282,32.6081,7.5224
283,19.4971,33.1981,7.2459
284,19.566,28.5674,6.6798
285,19.6349,31.6975,6.8927
286,19.7038,33.7943,6.0808
287,19.7727,29.9569,5.4107
288,19.8416,21.293,6.1913
289,19.9105,18.8664,4.0259
290,19.9794,13.2811,3.4362
291,20.0483,7.1072,3.5671
292,20.1172,4.3645,3.9092
293,20.1861,3.5288,4.5269
294,20.255,1.8959,4.3205
295,20.3239,2.0395,3.2589
296,20.3928,3.4092,4.0445
297,20.4617,5.766,3.7311
298,20.5306,5.3352,3.661
299,20.5995,6.8643,4.184
300,20.6683,7.4699,3.4769
301,20.7372,10.668,3.1773
302,20.8061,12.9888,4.093
303,20.875,18.2787,4.4321
304,20.9439,26.6213,6.068
305,21.0128,32.3052,7.4482
306,21.0817,36.3019,9.7746
307,21.1506,37.8965,10.709
308,21.2195,34.9199,7.4137
309,21.2884,24.2683,5.8559
310,21.3573,21.557,4.0309
311,21.4262,19.6291,4.7518
312,21.4951,16.9204,5.0624
313,21.564,14.7639,4.1122
314,21.6329,10.764,4.6561
315,21.7018,9.3531,5.1459
316,21.7707,11.1205,5.871
317,21.8396,10.8117,4.2243
318,21.9084,11.7336,4.931
319,21.9773,13.0313,5.2366
320,22.0462,17.6023,6.3461
321,22.1151,20.6727,6.4089
322,22.184,29.7175,7.21
323,22.2529,36.8356,9.2008
324,22.3218,31.675,9.9714
325,22.3907,29.6344,9.0434
326,22.4596,29.0354,7.2746
327,22.5285,23.2867,6.5401
328,22.5974,24.1928,5.9246
329,22.6663,24.9396,5.4284
330,22.7352,21.7145,5.5304
331,22.8041,21.609,3.9483
332,22.873,19.0969,4.7055
333,22.9419,17.7607,5.6902
334,23.0108,19.7972,7.3506
335,23.0797,13.9363,6.8664
336,23.1486,12.804,5.8546
337,23.2174,10.5189,5.0166
338,23.2863,10.7712,5.6092
339,23.3552,8.7279,5.4074
340,23.4241,9.7572,5.7264
341,23.493,15.2011,5.3736
342,23.5619,20.5726,6.339
343,23.6308,18.4241,5.8542
344,23.6997,17.2131,6.5087
345,23.7686,20.8188,5.4148
346,23.8375,24.8045,5.334
347,23.9064,27.5483,5.7521
348,23.9753,23.9229,4.8628
349,24.0442,18.4829,4.627
350,24.1131,16.8531,5.1454
351,24.182,14.6665,4.6228
352,24.2509,12.8972,5.2317
353,24.3198,17.9719,4.7267
354,24.3887,22.502,6.1062
355,24.4575,24.3686,6.0088
356,24.5264,20.5538,6.4604
357,24.5953,25.7308,6.4804
358,24.6642,32.0622,6.9085
359,24.7331,34.4921,8.3549
360,24.802,21.8806,6.7856
361,24.8709,22.8865,6.1909
362,24.9398,27.8867,6.3078
363,25.0087,24.9843,6.6116
364,25.0776,18.4313,6.2774
365,25.1465,12.3425,5.0728
366,25.2154,8.5374,4.953
367,25.2843,10.5665,4.8365
368,25.3532,17.3029,6.256
369,25.4221,23.1606,9.0375
370,25.491,30.5593,10.582
371,25.5599,36.9638,10.1178
372,25.6288,39.6626,9.8985
373,25.6976,37.3362,8.5435
374,25.7665,24.2645,5.9434
375,25.8354,17.3322,5.5757
376,25.9043,11.8134,5.399
