,position (um),Sema5c intensity,Abi intensity
0,0.0,20.9613,8.3825
1,0.0689,15.6085,6.6893
2,0.1378,10.4354,5.9468
3,0.2067,10.2819,5.3431
4,0.2756,7.5925,4.6838
5,0.3445,6.5449,5.8168
6,0.4134,6.8349,5.4095
7,0.4823,8.0866,4.8976
8,0.5512,11.2364,4.6917
9,0.6201,12.775,3.9714
10,0.6889,13.0901,4.6313
11,0.7578,10.8989,4.6232
12,0.8267,7.848,4.5856
13,0.8956,6.754,5.0828
14,0.9645,5.2798,4.4507
15,1.0334,5.602,3.5957
16,1.1023,5.3303,3.8207
17,1.1712,8.4251,4.7273
18,1.2401,8.7324,4.2128
19,1.309,8.6288,4.0962
20,1.3779,6.4645,4.9678
21,1.4468,4.6143,4.1687
22,1.5157,2.937,2.9852
23,1.5846,2.4765,2.6046
24,1.6535,2.3441,2.0755
25,1.7224,2.2952,2.3381
26,1.7913,4.4215,2.4256
27,1.8602,6.8481,2.9289
28,1.929,8.4212,3.8133
29,1.9979,7.565,3.9548
30,2.0668,8.4119,3.9269
31,2.1357,8.3855,4.2209
32,2.2046,13.8386,5.172
33,2.2735,22.692,5.1339
34,2.3424,32.281,6.1547
35,2.4113,38.02,7.0923
36,2.4802,40.0209,8.3746
37,2.5491,38.8055,10.8692
38,2.618,38.4484,13.9772
39,2.6869,35.4253,13.0615
40,2.7558,36.0167,13.6019
41,2.8247,37.5199,13.8622
42,2.8936,40.4741,12.7277
43,2.9625,33.2628,9.9027
44,3.0314,22.7398,8.651
45,3.1003,15.5471,6.247
46,3.1691,13.4572,5.029
47,3.238,13.2528,4.6811
48,3.3069,11.6438,5.4034
49,3.3758,8.4256,4.3926
50,3.4447,6.29,3.514
51,3.5136,6.7711,4.3012
52,3.5825,12.1728,4.9555
53,3.6514,11.1485,4.1821
54,3.7203,9.1884,3.8997
55,3.7892,6.9605,3.9885
56,3.8581,6.4914,3.4502
57,3.927,7.0664,3.7437
58,3.9959,7.3751,4.0172
59,4.0648,6.486,3.9354
60,4.1337,8.3882,3.9089
61,4.2026,7.2761,3.4468
62,4.2715,7.38,3.8358
63,4.3404,7.4208,3.415
64,4.4092,11.1801,3.197
65,4.4781,14.9346,2.9932
66,4.547,14.7518,3.6431
67,4.6159,13.3542,5.0735
68,4.6848,11.1155,5.1886
69,4.7537,7.7164,5.3512
70,4.8226,7.0229,5.2186
71,4.8915,6.6903,6.641
72,4.9604,8.1422,7.0526
73,5.0293,10.0416,7.4843
74,5.0982,12.0696,5.8057
75,5.1671,11.1928,6.2858
76,5.236,10.2716,5.5361
77,5.3049,9.6708,5.2867
78,5.3738,8.2984,4.3897
79,5.4427,8.1478,4.1929
80,5.5116,6.0538,4.2163
81,5.5805,5.594,4.0025
82,5.6493,4.171,3.7757
83,5.7182,4.3582,3.2525
84,5.7871,2.939,3.019
85,5.856,2.131,3.5026
86,5.9249,2.8374,3.0147
87,5.9938,3.0325,2.6403
88,6.0627,5.95,2.6587
89,6.1316,10.9491,2.9944
90,6.2005,15.2688,2.9309
91,6.2694,17.2382,4.2175
92,6.3383,16.7536,3.32
93,6.4072,16.1974,3.9063
94,6.4761,17.9213,3.692
95,6.545,15.8596,4.1372
96,6.6139,12.929,5.0576
97,6.6828,8.7341,3.7749
98,6.7517,6.1299,3.9222
99,6.8206,5.8174,4.2141
100,6.8894,8.2902,3.4634
101,6.9583,11.6705,4.6927
102,7.0272,13.4086,5.0804
103,7.0961,15.6585,4.9539
104,7.165,16.0797,4.2182
105,7.2339,11.7903,4.1886
106,7.3028,10.8563,4.2718
107,7.3717,12.2665,3.6365
108,7.4406,13.5496,4.2874
109,7.5095,14.2068,4.9519
110,7.5784,18.5844,5.5225
111,7.6473,23.7794,5.3189
112,7.7162,23.8361,5.3474
113,7.7851,32.4779,7.0949
114,7.854,26.1226,7.5439
115,7.9229,21.9687,9.1538
116,7.9918,19.2696,7.9108
117,8.0607,14.5707,8.2102
118,8.1296,9.2315,7.0275
119,8.1984,5.7752,6.1523
120,8.2673,5.2232,5.1974
121,8.3362,3.6924,4.2186
122,8.4051,3.5004,3.3151
123,8.474,3.1606,4.1894
124,8.5429,4.2645,5.0465
125,8.6118,2.6687,4.9206
126,8.6807,3.256,3.7345
127,8.7496,3.4387,4.1048
128,8.8185,4.2169,2.7526
129,8.8874,4.8531,3.0618
130,8.9563,5.9002,4.7682
131,9.0252,4.3794,3.5438
132,9.0941,3.8313,2.9167
133,9.163,3.7482,2.5597
134,9.2319,4.8672,2.0998
135,9.3008,5.9211,2.0186
136,9.3697,5.2633,2.1445
137,9.4385,6.9982,2.3005
138,9.5074,4.4737,2.2952
139,9.5763,3.2341,2.358
140,9.6452,5.116,3.3433
141,9.7141,7.1943,3.4676
142,9.783,8.0435,4.0097
143,9.8519,10.2308,4.803
144,9.9208,9.0336,4.8332
145,9.9897,7.4804,5.3432
146,10.0586,6.6138,5.283
147,10.1275,4.6085,4.6868
148,10.1964,4.1592,4.2095
149,10.2653,4.2849,3.5912
150,10.3342,4.6539,3.7274
151,10.4031,5.5323,5.9624
152,10.472,7.0273,5.3782
