Distance_(microns),Value
0.00000,1.50000
0.06889,1.22853
0.13779,0.46676
0.20668,0.25450
0.27558,0.96053
0.34447,2.69737
0.41337,3.80090
0.48226,4.00000
0.55116,3.96607
0.62005,4.44737
0.68894,3.85422
0.75784,2.33657
0.82673,1.32202
0.89563,2.56925
0.96452,3.84211
1.03342,2.33760
1.10231,1.54363
1.17121,1.65443
1.24010,1.59799
1.30900,2.12500
1.37789,1.83726
1.44678,0.81925
1.51568,1.83726
1.58457,3.08033
1.65347,4.13296
1.72236,5.35319
1.79126,4.44806
1.86015,5.26524
1.92905,4.94391
1.99794,3.22922
2.06683,1.62777
2.13573,1.30263
2.20462,1.30609
2.27352,0.64058
2.34241,1.36704
2.41131,1.20187
2.48020,1.38435
2.54910,1.16620
2.61799,2.00000
