Distance_(microns),Value
0.00000,6.0000
0.06889,6.7565
0.13779,6.7419
0.20668,9.7794
0.27558,15.0541
0.34447,8.0739
0.41337,12.2882
0.48226,15.2612
0.55116,25.9990
0.62005,23.8106
0.68894,25.6540
0.75784,12.4870
0.82673,11.3975
0.89563,12.7565
0.96452,5.9729
1.03342,7.0229
1.10231,8.8439
1.17121,8.2144
1.24010,6.4006
1.30900,8.2830
1.37789,12.1821
1.44678,12.0739
1.51568,14.4490
1.58457,14.6930
1.65347,8.8470
1.72236,9.4755
1.79126,3.4573
1.86015,2.4589
1.92905,6.6191
1.99794,6.1238
2.06683,8.7747
2.13573,12.0000
