Distance_(microns),Value
0.00000,1.00000
0.06889,0.01613
0.13779,1.06139
0.20668,0.05541
0.27558,0.18106
0.34447,0.24194
0.41337,1.45578
0.48226,2.86498
0.55116,5.83039
0.62005,6.23933
0.68894,7.28200
0.75784,6.20734
0.82673,5.96878
0.89563,5.12045
0.96452,4.50780
1.03342,2.25078
1.10231,1.85848
1.17121,1.40297
1.24010,0.51093
1.30900,1.96228
1.37789,1.61394
1.44678,0.34938
1.51568,0.06452
1.58457,0.11290
1.65347,1.28824
1.72236,1.40323
1.79126,1.00000
1.86015,1.21852
1.92905,0.77732
1.99794,0.18861
2.06683,0.23309
2.13573,0.50000
