Distance_(microns),Value
0.00000,3.0000
0.06889,2.9605
0.13779,3.0000
0.20668,2.0395
0.27558,3.8947
0.34447,1.3947
0.41337,2.5526
0.48226,6.9079
0.55116,7.8947
0.62005,9.0000
0.68894,13.2632
0.75784,10.9868
0.82673,7.6842
0.89563,4.1711
0.96452,4.6316
1.03342,3.8026
1.10231,3.0000
1.17121,1.2237
1.24010,2.0000
1.30900,1.0000
1.37789,1.7368
1.44678,1.7237
1.51568,2.2895
1.58457,2.6053
1.65347,2.9474
1.72236,2.6579
1.79126,2.3158
1.86015,1.0000
1.92905,1.2632
1.99794,2.3816
2.06683,2.6053
2.13573,1.1842
2.20462,1.7368
2.27352,0.4342
2.34241,0.8947
2.41131,2.0000
2.48020,0.9474
2.54910,1.0000
2.61799,1.0000
