Distance_(microns),Value
0.00000,2.00000
0.06889,1.37911
0.13779,2.29730
0.20668,4.40614
0.27558,3.81702
0.34447,4.86486
0.41337,5.55405
0.48226,6.13514
0.55116,6.67622
0.62005,5.10299
0.68894,4.89061
0.75784,3.70782
0.82673,2.47681
0.89563,0.50548
0.96452,1.36486
1.03342,1.18700
1.10231,1.52721
1.17121,1.30898
1.24010,1.37765
1.30900,1.99270
1.37789,0.25511
1.44678,1.40541
1.51568,1.81976
1.58457,1.92988
1.65347,1.82432
1.72236,0.28561
1.79126,1.42111
1.86015,0.62162
1.92905,1.35993
1.99794,1.06647
2.06683,0.28178
2.13573,0.97370
2.20462,0.98850
2.27352,1.22790
2.34241,1.13532
2.41131,2.18919
2.48020,1.61267
2.54910,1.00000
