Distance_(microns),Value
0.00000,16.250
0.06889,15.650
0.13779,20.876
0.20668,27.568
0.27558,27.089
0.34447,27.830
0.41337,49.991
0.48226,70.559
0.55116,102.209
0.62005,97.681
0.68894,119.631
0.75784,128.812
0.82673,128.110
0.89563,131.745
0.96452,150.498
1.03342,147.500
1.10231,154.725
1.17121,158.887
1.24010,179.379
1.30900,171.701
1.37789,178.734
1.44678,179.763
1.51568,167.520
1.58457,163.747
1.65347,160.982
1.72236,146.765
1.79126,132.676
1.86015,128.752
1.92905,119.113
1.99794,109.492
2.06683,87.898
2.13573,84.364
2.20462,67.210
2.27352,64.530
2.34241,57.096
2.41131,46.105
2.48020,36.756
2.54910,24.000
