Distance_(microns),Value
0.00000,14.000
0.06889,13.549
0.13779,14.422
0.20668,14.844
0.27558,21.919
0.34447,28.827
0.41337,27.311
0.48226,35.126
0.55116,45.081
0.62005,57.500
0.68894,77.852
0.75784,107.854
0.82673,129.067
0.89563,145.170
0.96452,164.953
1.03342,185.389
1.10231,197.086
1.17121,205.557
1.24010,214.600
1.30900,222.384
1.37789,198.815
1.44678,178.956
1.51568,193.684
1.58457,174.020
1.65347,140.622
1.72236,118.167
1.79126,114.395
1.86015,112.800
1.92905,101.773
1.99794,92.962
2.06683,92.667
2.13573,78.101
2.20462,75.598
2.27352,70.056
2.34241,84.978
2.41131,71.944
2.48020,77.400
2.54910,57.964
2.61799,45.891
2.68689,36.833
2.75578,31.531
2.82467,29.207
2.89357,30.178
2.96246,24.922
3.03136,20.575
3.10025,18.000
