Distance_(microns),Value
0.00000,2.0000
0.06889,1.8864
0.13779,0.4545
0.20668,1.3409
0.27558,5.0909
0.34447,8.1364
0.41337,11.7273
0.48226,14.3864
0.55116,17.9091
0.62005,10.0909
0.68894,10.5909
0.75784,10.0000
0.82673,4.6364
0.89563,4.9545
0.96452,5.4091
1.03342,3.1136
1.10231,2.8182
1.17121,2.0000
1.24010,3.0000
1.30900,6.2045
1.37789,2.0909
1.44678,2.2273
1.51568,3.0000
1.58457,1.6136
1.65347,3.0000
1.72236,1.0000
1.79126,1.0000
1.86015,2.0682
1.92905,2.8182
1.99794,2.4091
2.06683,3.0000
2.13573,2.5227
2.20462,2.0909
2.27352,1.5000
2.34241,0.2727
2.41131,0.0227
2.48020,0.0909
2.54910,0.2045
2.61799,1.3182
2.68689,0.4318
2.75578,0.0000
2.82467,1.0000
2.89357,0.0000
2.96246,0.8864
3.03136,1.0000
