Distance_(microns),Value
0.00000,14.917
0.06889,12.352
0.13779,19.667
0.20668,23.500
0.27558,21.824
0.34447,44.278
0.41337,56.084
0.48226,79.871
0.55116,97.426
0.62005,126.000
0.68894,145.472
0.75784,166.111
0.82673,171.250
0.89563,154.055
0.96452,157.426
1.03342,172.333
1.10231,170.342
1.17121,153.204
1.24010,158.667
1.30900,129.259
1.37789,136.806
1.44678,159.000
1.51568,170.491
1.58457,140.000
1.65347,159.500
1.72236,174.426
1.79126,158.259
1.86015,141.333
1.92905,135.685
1.99794,132.407
2.06683,129.000
2.13573,113.074
2.20462,84.343
2.27352,70.667
2.34241,59.954
2.41131,51.074
2.48020,39.917
2.54910,42.352
2.61799,30.084
2.68689,18.500
2.75578,21.555
2.82467,15.593
2.89357,14.250
