Distance_(microns),Value
0.00000,5.5000
0.06889,1.2714
0.13779,2.4250
0.20668,4.1067
0.27558,13.4075
0.34447,23.3672
0.41337,26.8444
0.48226,31.3353
0.55116,28.6000
0.62005,29.7977
0.68894,15.7969
0.75784,16.3845
0.82673,10.0475
0.89563,4.6491
0.96452,4.6300
1.03342,7.0938
1.10231,10.9200
1.17121,7.6484
1.24010,7.2244
1.30900,6.3387
1.37789,4.9375
1.44678,6.5889
1.51568,7.6912
1.58457,12.2394
1.65347,6.4400
1.72236,3.6055
1.79126,6.6144
1.86015,10.7241
1.92905,8.7650
1.99794,7.2958
2.06683,8.1094
2.13573,8.9633
2.20462,5.1200
2.27352,3.9620
2.34241,5.7512
2.41131,4.5742
2.48020,4.1100
2.54910,4.7942
2.61799,3.9362
2.68689,2.8827
2.75578,3.5000
