Distance_(microns),Value
0.00000,13.0000
0.06889,6.9178
0.13779,6.5204
0.20668,8.4970
0.27558,9.0411
0.34447,9.3333
0.41337,8.9438
0.48226,7.9908
0.55116,6.0256
0.62005,6.9231
0.68894,8.8159
0.75784,10.6022
0.82673,14.2160
0.89563,22.2222
0.96452,33.4556
1.03342,38.0059
1.10231,35.5644
1.17121,36.1216
1.24010,39.8669
1.30900,39.8409
1.37789,38.8757
1.44678,40.4320
1.51568,44.9704
1.58457,37.0842
1.65347,37.1479
1.72236,49.2301
1.79126,41.2222
1.86015,42.0237
1.92905,43.7298
1.99794,40.2032
2.06683,30.9201
2.13573,11.4116
2.20462,19.9264
2.27352,17.2959
2.34241,7.0641
2.41131,7.8488
2.48020,4.6420
2.54910,7.4681
2.61799,6.8702
2.68689,7.0000
