Distance_(microns),Value
0.00000,10.2500
0.06889,10.9516
0.13779,15.0081
0.20668,17.6129
0.27558,20.1935
0.34447,21.5161
0.41337,20.2903
0.48226,18.0000
0.55116,20.5081
0.62005,25.0968
0.68894,17.0242
0.75784,8.4677
0.82673,8.7581
0.89563,8.3710
0.96452,5.9435
1.03342,6.6129
1.10231,7.7742
1.17121,6.4839
1.24010,6.7419
1.30900,5.8871
1.37789,4.0726
1.44678,4.8065
1.51568,4.8468
1.58457,4.8871
1.65347,3.3548
1.72236,1.5161
1.79126,2.4839
1.86015,3.0968
1.92905,2.3629
1.99794,1.7419
2.06683,2.4758
2.13573,2.5000
