Distance_(microns),Value
0.00000,6.2500
0.06889,6.3319
0.13779,7.0247
0.20668,11.3814
0.27558,19.0385
0.34447,29.7992
0.41337,40.3543
0.48226,34.2076
0.55116,9.6995
0.62005,7.7092
0.68894,7.0385
0.75784,10.0068
0.82673,3.9191
0.89563,9.6852
0.96452,5.2456
1.03342,5.0104
1.10231,5.8411
1.17121,0.5942
1.24010,5.3746
1.30900,4.5718
1.37789,4.0879
1.44678,1.4063
1.51568,2.3366
1.58457,2.2768
1.65347,1.9355
1.72236,1.4938
1.79126,1.9992
1.86015,1.1498
1.92905,1.7360
1.99794,3.1951
2.06683,2.3574
2.13573,2.5000
