Distance_(microns),Value
0.00000,8.2500
0.06889,6.3912
0.13779,5.3634
0.20668,9.8980
0.27558,17.5601
0.34447,21.2721
0.41337,33.3214
0.48226,43.6111
0.55116,61.9393
0.62005,82.4796
0.68894,83.7749
0.75784,72.7778
0.82673,42.4898
0.89563,21.5907
0.96452,24.1667
1.03342,15.9796
1.10231,5.9303
1.17121,8.6950
1.24010,11.5765
1.30900,16.1961
1.37789,16.8532
1.44678,26.0000
1.51568,31.1400
1.58457,32.6338
1.65347,17.5663
1.72236,15.4739
1.79126,8.0085
1.86015,12.1122
1.92905,11.4444
1.99794,12.1678
2.06683,9.4745
2.13573,7.2982
2.20462,3.9592
2.27352,7.8980
2.34241,8.7568
2.41131,7.6667
2.48020,9.7704
2.54910,9.5181
2.61799,8.1995
2.68689,7.9490
2.75578,6.0465
2.82467,6.5612
2.89357,9.5000
