Distance_(microns),Value
0.00000,3.0000
0.06889,13.0390
0.13779,7.4318
0.20668,19.3694
0.27558,34.1103
0.34447,36.8450
0.41337,39.3424
0.48226,24.3403
0.55116,17.2997
0.62005,10.6941
0.68894,7.1644
0.75784,7.1223
0.82673,9.7981
0.89563,6.5416
0.96452,5.0791
1.03342,6.0583
1.10231,12.6389
1.17121,11.4225
1.24010,11.0884
1.30900,18.9443
1.37789,27.9490
1.44678,34.2534
1.51568,18.0801
1.58457,14.9865
1.65347,7.1332
1.72236,5.4719
1.79126,5.2789
1.86015,4.5385
1.92905,4.0687
1.99794,3.5931
2.06683,4.5057
2.13573,7.0000
