Distance_(microns),Value
0.00000,1.0000
0.06889,2.4822
0.13779,3.0311
0.20668,4.4700
0.27558,8.2533
0.34447,14.3333
0.41337,24.5600
0.48226,28.7556
0.55116,26.7311
0.62005,16.8200
0.68894,10.0556
0.75784,8.9111
0.82673,5.6400
0.89563,8.8233
0.96452,11.5222
1.03342,18.2500
1.10231,27.6467
1.17121,40.1267
1.24010,40.7800
1.30900,29.3922
1.37789,22.0000
1.44678,15.9800
1.51568,6.4933
1.58457,2.3333
1.65347,3.1400
1.72236,5.7778
1.79126,3.2489
1.86015,5.0500
1.92905,1.3556
1.99794,4.4922
2.06683,2.5000
