Distance_(microns),Value
0.00000,6.0000
0.06889,9.4978
0.13779,7.4111
0.20668,6.9700
0.27558,6.9467
0.34447,9.8889
0.41337,19.0600
0.48226,26.3333
0.55116,24.3667
0.62005,25.1300
0.68894,34.5000
0.75784,33.7633
0.82673,28.0400
0.89563,26.5089
0.96452,27.8733
1.03342,30.2500
1.10231,31.2511
1.17121,27.6078
1.24010,23.6400
1.30900,29.6289
1.37789,28.2778
1.44678,19.7000
1.51568,20.7311
1.58457,17.0022
1.65347,21.0200
1.72236,22.5278
1.79126,18.3422
1.86015,8.7100
1.92905,9.8711
1.99794,10.8144
2.06683,5.5000
