Distance_(microns),Value
0.00000,6.0000
0.06889,4.5513
0.13779,4.2012
0.20668,3.0146
0.27558,3.9727
0.34447,4.4670
0.41337,8.0850
0.48226,12.0039
0.55116,14.7969
0.62005,25.7168
0.68894,30.6963
0.75784,30.5256
0.82673,35.2578
0.89563,42.7544
0.96452,49.0957
1.03342,45.4734
1.10231,46.0000
1.17121,52.5544
1.24010,53.0361
1.30900,46.3916
1.37789,44.9180
1.44678,39.7698
1.51568,42.1748
1.58457,44.6270
1.65347,28.2031
1.72236,24.4849
1.79126,21.9609
1.86015,22.3738
1.92905,27.8359
1.99794,18.8418
2.06683,12.1689
2.13573,7.9238
2.20462,11.0000
