Distance_(microns),Value
0.00000,6.0000
0.06889,3.7692
0.13779,13.7949
0.20668,4.8462
0.27558,3.8590
0.34447,2.1538
0.41337,9.6538
0.48226,0.1282
0.55116,7.0897
0.62005,24.9231
0.68894,48.0000
0.75784,33.2564
0.82673,40.0385
0.89563,26.6667
0.96452,14.9231
1.03342,16.1538
1.10231,6.2821
1.17121,18.7179
1.24010,27.2692
1.30900,10.6410
1.37789,16.2308
1.44678,9.6154
1.51568,10.1538
1.58457,5.6923
1.65347,4.6538
1.72236,2.7436
1.79126,1.8333
1.86015,7.0000
1.92905,3.0385
1.99794,5.0000
2.06683,0.8077
2.13573,0.2821
2.20462,0.0000
2.27352,0.0000
2.34241,3.3462
2.41131,2.1538
2.48020,0.0000
2.54910,2.5385
2.61799,6.1667
2.68689,3.0000
