Distance_(microns),Value
0.00000,6.0000
0.06889,2.5661
0.13779,4.0139
0.20668,2.1371
0.27558,3.0637
0.34447,7.6679
0.41337,14.6039
0.48226,19.9089
0.55116,28.6648
0.62005,29.5706
0.68894,25.2922
0.75784,19.0651
0.82673,13.3961
0.89563,14.6863
0.96452,17.4668
1.03342,16.7569
1.10231,15.6371
1.17121,15.3296
1.24010,10.1205
1.30900,8.6250
1.37789,8.1607
1.44678,6.0564
1.51568,5.6302
1.58457,4.1174
1.65347,5.3850
1.72236,5.6226
1.79126,1.1357
1.86015,6.4332
1.92905,3.9861
1.99794,4.1184
2.06683,3.8283
2.13573,2.8255
2.20462,2.3047
2.27352,1.4311
2.34241,1.6233
2.41131,1.8895
2.48020,1.4211
2.54910,2.3629
2.61799,2.5000
