Distance_(microns),Value
0.00000,1.0000
0.06889,7.5242
0.13779,6.6053
0.20668,5.9183
0.27558,3.4737
0.34447,7.1610
0.41337,9.5055
0.48226,22.3708
0.55116,34.7424
0.62005,44.9349
0.68894,58.4197
0.75784,71.5305
0.82673,85.9418
0.89563,93.3639
0.96452,85.8933
1.03342,80.0364
1.10231,83.2299
1.17121,83.8082
1.24010,81.1884
1.30900,90.1250
1.37789,88.9585
1.44678,77.3812
1.51568,63.0042
1.58457,53.6908
1.65347,54.8033
1.72236,49.3089
1.79126,42.9127
1.86015,32.6638
1.92905,42.0305
1.99794,29.5658
2.06683,21.6565
2.13573,16.6949
2.20462,13.2465
2.27352,9.3182
2.34241,9.1593
2.41131,7.1659
2.48020,3.8061
2.54910,2.8078
2.61799,1.5000
