Distance_(microns),Value
0.00000,1.9447
0.06889,4.0190
0.13779,2.8356
0.20668,8.1490
0.27558,5.3711
0.34447,6.1800
0.41337,8.2096
0.48226,15.5120
0.55116,20.0888
0.62005,27.8905
0.68894,29.3868
0.75784,27.1484
0.82673,27.1046
0.89563,25.8988
0.96452,24.7322
1.03342,22.2533
1.10231,18.5107
1.17121,30.2137
1.24010,28.7252
1.30900,20.1902
1.37789,18.8438
1.44678,20.8103
1.51568,23.1719
1.58457,17.6047
1.65347,18.7437
1.72236,13.6926
1.79126,15.0708
1.86015,19.9385
1.92905,6.1546
1.99794,4.1663
2.06683,6.1236
2.13573,5.8333
