Distance_(microns),Value
0.00000,8.0000
0.06889,4.7661
0.13779,6.1075
0.20668,6.8952
0.27558,7.3280
0.34447,7.3925
0.41337,6.6532
0.48226,6.9247
0.55116,8.3441
0.62005,9.2903
0.68894,12.4812
0.75784,22.5538
0.82673,32.3710
0.89563,39.5000
0.96452,46.4463
1.03342,45.5000
1.10231,41.2123
1.17121,34.0725
1.24010,24.5323
1.30900,18.0700
1.37789,15.5000
1.44678,13.2661
1.51568,10.9462
1.58457,7.1209
1.65347,2.2259
1.72236,1.8468
1.79126,0.8898
1.86015,0.0000
1.92905,0.8979
1.99794,1.6291
2.06683,1.4759
2.13573,1.1667
