Distance_(microns),Value
0.00000,3.7500
0.06889,5.0811
0.13779,4.9459
0.20668,6.4189
0.27558,8.2838
0.34447,10.4595
0.41337,13.6622
0.48226,16.0676
0.55116,17.5743
0.62005,17.2162
0.68894,15.6959
0.75784,12.9932
0.82673,6.9122
0.89563,3.1689
0.96452,2.4257
1.03342,1.2365
1.10231,3.0338
1.17121,3.5000
1.24010,2.0203
1.30900,4.5338
1.37789,5.4595
1.44678,4.3311
1.51568,3.0000
1.58457,2.0608
1.65347,2.7770
1.72236,3.8851
1.79126,3.6959
1.86015,3.2703
1.92905,4.1149
1.99794,3.7905
2.06683,2.2230
2.13573,2.5000
2.20462,2.3176
2.27352,3.0203
2.34241,5.1622
2.41131,3.7230
2.48020,2.6824
2.54910,2.7500
