Distance_(microns),Value
0.00000,6.250
0.06889,5.736
0.13779,7.338
0.20668,12.932
0.27558,23.095
0.34447,47.872
0.41337,82.182
0.48226,105.392
0.55116,109.243
0.62005,98.709
0.68894,87.709
0.75784,66.324
0.82673,39.081
0.89563,27.000
0.96452,18.709
1.03342,8.926
1.10231,7.703
1.17121,4.020
1.24010,5.486
1.30900,7.514
1.37789,8.041
1.44678,8.196
1.51568,7.311
1.58457,9.074
1.65347,8.628
1.72236,7.209
1.79126,13.858
1.86015,14.014
1.92905,7.230
1.99794,12.365
2.06683,12.345
2.13573,5.689
2.20462,6.730
2.27352,12.108
2.34241,14.176
2.41131,11.514
2.48020,7.338
2.54910,4.750
