Distance_(microns),Value
0.00000,5.7500
0.06889,3.9216
0.13779,5.5784
0.20668,7.0000
0.27558,6.3578
0.34447,6.1078
0.41337,6.7941
0.48226,8.2255
0.55116,9.6863
0.62005,12.2794
0.68894,10.7304
0.75784,5.5343
0.82673,4.0441
0.89563,3.5098
0.96452,4.4510
1.03342,5.3235
1.10231,4.8726
1.17121,4.5834
1.24010,5.0736
1.30900,4.3873
1.37789,3.5000
1.44678,3.3382
1.51568,2.3627
1.58457,1.8039
1.65347,1.4412
1.72236,1.0000
1.79126,1.2402
1.86015,1.8382
1.92905,2.6960
1.99794,3.6372
2.06683,4.3382
2.13573,3.5735
2.20462,2.7646
2.27352,2.9852
2.34241,2.3333
