Distance_(microns),Value
0.00000,9.7500
0.06889,7.7304
0.13779,10.3676
0.20668,11.5441
0.27558,14.2010
0.34447,21.4951
0.41337,30.9118
0.48226,38.4804
0.55116,43.7451
0.62005,43.8823
0.68894,34.7891
0.75784,20.1078
0.82673,9.0588
0.89563,8.9706
0.96452,5.8530
1.03342,2.4559
1.10231,3.5000
1.17121,4.9167
1.24010,5.2648
1.30900,2.3775
1.37789,5.5735
1.44678,7.7207
1.51568,6.5932
1.58457,5.1029
1.65347,4.7646
1.72236,5.4608
1.79126,4.7206
1.86015,2.7206
1.92905,1.0980
1.99794,4.1372
2.06683,3.4853
2.13573,1.2843
2.20462,2.0098
2.27352,2.5882
2.34241,1.4167
