Distance_(microns),Value
0.00000,14.5000
0.06889,17.0807
0.13779,15.9361
0.20668,23.3088
0.27558,35.9177
0.34447,47.8978
0.41337,48.9673
0.48226,50.0079
0.55116,77.6438
0.62005,99.0047
0.68894,93.2144
0.75784,71.1050
0.82673,52.3013
0.89563,42.7299
0.96452,33.0518
1.03342,26.3600
1.10231,24.2666
1.17121,26.7389
1.24010,26.8661
1.30900,22.1245
1.37789,17.5255
1.44678,15.2001
1.51568,13.1803
1.58457,7.7149
1.65347,8.9220
1.72236,14.4444
1.79126,15.0151
1.86015,12.5104
1.92905,14.2399
1.99794,12.2251
2.06683,9.8401
2.13573,9.7067
2.20462,5.3349
2.27352,7.3871
2.34241,6.1031
2.41131,5.0133
2.48020,9.4490
2.54910,13.9254
2.61799,9.7981
2.68689,8.6447
2.75578,3.9857
2.82467,2.6142
2.89357,4.5572
2.96246,2.4956
3.03136,5.3280
3.10025,2.0001
3.16915,2.5888
3.23804,1.8070
3.30694,4.3620
3.37583,3.7363
3.44473,7.1387
