Distance_(microns),Value
0.00000,4.5833
0.06889,2.9900
0.13779,5.7291
0.20668,5.0857
0.27558,7.4087
0.34447,10.9600
0.41337,10.5989
0.48226,14.8707
0.55116,18.0509
0.62005,20.1581
0.68894,20.4104
0.75784,15.6762
0.82673,10.3334
0.89563,6.8116
0.96452,6.7478
1.03342,7.7290
1.10231,10.0724
1.17121,8.1259
1.24010,9.7046
1.30900,8.5936
1.37789,7.7054
1.44678,5.5476
1.51568,3.2464
1.58457,6.2222
1.65347,6.9882
1.72236,6.6604
1.79126,6.0288
1.86015,5.1890
1.92905,3.3965
1.99794,2.4743
2.06683,3.4172
2.13573,3.9748
2.20462,3.0883
2.27352,3.3063
2.34241,2.9536
2.41131,3.3913
2.48020,4.0712
2.54910,3.2564
2.61799,2.7312
2.68689,2.2432
2.75578,3.0825
2.82467,1.8484
2.89357,1.0670
2.96246,1.9420
3.03136,3.3523
3.10025,2.7782
3.16915,1.0000
