Distance_(microns),Value
0.00000,2.0000
0.06889,4.0789
0.13779,9.6316
0.20668,12.4737
0.27558,8.9211
0.34447,12.5789
0.41337,16.1579
0.48226,8.6711
0.55116,26.7105
0.62005,37.3947
0.68894,29.5263
0.75784,21.3947
0.82673,8.1842
0.89563,8.9079
0.96452,4.3158
1.03342,6.5526
1.10231,8.3421
1.17121,9.8289
1.24010,2.8421
1.30900,6.2500
1.37789,4.5789
1.44678,8.6053
1.51568,6.1053
1.58457,4.1842
1.65347,2.5526
1.72236,6.1316
1.79126,2.9474
1.86015,0.4342
1.92905,2.6053
1.99794,2.9342
2.06683,3.4211
2.13573,4.6184
2.20462,1.2368
2.27352,5.0132
2.34241,7.3158
2.41131,3.7105
2.48020,3.0000
2.54910,2.0000
2.61799,0.0000
