Distance_(microns),Value
0.00000,6.0000
0.06889,4.7567
0.13779,1.6302
0.20668,2.1747
0.27558,1.3233
0.34447,4.1020
0.41337,2.0204
0.48226,4.9600
0.55116,7.3502
0.62005,8.3527
0.68894,7.9592
0.75784,8.0702
0.82673,11.1167
0.89563,9.0800
0.96452,12.4800
1.03342,16.8571
1.10231,19.2424
1.17121,21.9837
1.24010,20.7576
1.30900,14.3241
1.37789,11.8776
1.44678,9.8000
1.51568,11.4041
1.58457,17.8620
1.65347,13.6604
1.72236,9.6939
1.79126,7.7012
1.86015,13.7037
1.92905,13.8400
1.99794,8.2735
2.06683,5.3061
2.13573,0.4637
2.20462,2.8857
2.27352,5.8833
2.34241,3.7845
2.41131,7.0000
