Distance_(microns),Value
0.00000,5.61106
0.06889,3.88020
0.13779,4.95140
0.20668,5.31600
0.27558,4.89582
0.34447,4.66663
0.41337,3.16669
0.48226,4.30212
0.55116,5.19435
0.62005,2.50006
0.68894,4.82289
0.75784,4.25524
0.82673,5.36104
0.89563,3.16148
0.96452,3.81595
1.03342,3.83170
1.10231,7.83331
1.17121,6.65968
1.24010,4.83678
1.30900,4.38026
1.37789,6.70830
1.44678,5.36972
1.51568,2.84373
1.58457,2.19099
1.65347,2.33326
1.72236,0.75009
1.79126,2.75344
1.86015,1.16669
1.92905,1.74998
1.99794,0.99664
2.06683,3.52783
2.13573,4.71351
2.20462,4.33325
