Distance_(microns),Value
0.00000,13.9166
0.06889,15.4270
0.13779,18.5524
0.20668,28.8819
0.27558,26.9792
0.34447,25.7881
0.41337,26.0001
0.48226,27.1876
0.55116,30.7082
0.62005,26.2900
0.68894,29.8854
0.75784,29.2134
0.82673,26.4166
0.89563,25.5054
0.96452,31.5971
1.03342,26.1702
1.10231,24.4997
1.17121,12.8751
1.24010,14.6629
1.30900,5.2607
1.37789,15.2221
1.44678,10.0727
1.51568,2.2084
1.58457,3.2431
1.65347,3.4445
1.72236,4.8593
1.79126,1.2883
1.86015,1.7430
1.92905,1.1876
1.99794,3.8731
2.06683,0.5521
2.13573,1.8958
2.20462,2.2500
