Distance_(microns),Value
0.00000,4.2778
0.06889,4.7731
0.13779,3.4362
0.20668,1.4985
0.27558,2.9233
0.34447,4.1048
0.41337,8.7138
0.48226,7.9056
0.55116,19.3146
0.62005,28.5438
0.68894,32.2016
0.75784,22.8193
0.82673,14.9235
0.89563,11.3939
0.96452,10.3563
1.03342,8.9311
1.10231,11.5135
1.17121,6.5755
1.24010,5.1782
1.30900,4.0603
1.37789,4.2589
1.44678,6.5319
1.51568,6.0287
1.58457,3.6773
1.65347,4.8474
1.72236,4.3239
1.79126,4.0037
1.86015,5.3069
1.92905,4.7315
1.99794,5.0250
2.06683,3.5341
2.13573,2.3184
2.20462,2.5555
2.27352,4.7040
2.34241,1.5557
2.41131,1.4704
2.48020,4.3125
2.54910,1.1685
2.61799,1.8405
2.68689,0.5516
2.75578,2.0275
2.82467,2.0955
2.89357,1.9834
2.96246,1.9430
3.03136,0.4074
3.10025,1.9575
3.16915,1.6364
3.23804,2.3888
