Distance_(microns),Value
0.00000,8.6390
0.06889,6.9251
0.13779,7.6952
0.20668,20.3115
0.27558,28.9849
0.34447,38.5309
0.41337,31.3990
0.48226,29.1088
0.55116,32.4317
0.62005,56.7240
0.68894,48.3915
0.75784,48.3177
0.82673,23.4501
0.89563,29.2464
0.96452,25.8998
1.03342,24.7573
1.10231,20.4436
1.17121,13.7521
1.24010,21.9101
1.30900,28.6681
1.37789,26.3470
1.44678,19.7518
1.51568,15.6223
1.58457,7.6098
1.65347,5.4869
1.72236,10.0912
1.79126,14.1493
1.86015,13.1742
1.92905,11.0420
1.99794,17.5735
2.06683,13.5589
2.13573,10.5949
2.20462,11.6606
2.27352,3.9698
2.34241,2.4217
2.41131,2.7835
2.48020,0.5815
2.54910,4.0983
2.61799,5.8632
2.68689,4.9112
2.75578,4.1598
2.82467,3.7895
2.89357,1.9086
2.96246,1.9668
3.03136,5.8084
3.10025,2.2235
3.16915,4.3311
3.23804,1.2502
