Distance_(microns),Value
0.00000,2.6667
0.06889,3.1883
0.13779,6.5863
0.20668,5.5093
0.27558,5.6481
0.34447,5.0556
0.41337,7.9166
0.48226,17.4566
0.55116,21.3672
0.62005,23.1111
0.68894,18.9415
0.75784,18.9537
0.82673,17.4075
0.89563,15.5340
0.96452,13.6389
1.03342,14.0185
1.10231,11.7100
1.17121,10.1574
1.24010,7.3334
1.30900,6.6852
1.37789,6.3518
1.44678,7.3796
1.51568,5.5062
1.58457,7.9474
1.65347,4.9815
1.72236,5.5987
1.79126,5.4475
1.86015,3.9167
1.92905,3.4013
1.99794,2.5402
2.06683,4.4258
2.13573,4.9074
2.20462,3.4938
2.27352,5.4259
2.34241,2.1791
2.41131,3.9227
2.48020,3.8333
