Distance_(microns),Value
0.00000,12.8333
0.06889,9.9507
0.13779,16.1541
0.20668,13.5279
0.27558,9.4229
0.34447,10.7068
0.41337,10.6759
0.48226,23.7343
0.55116,32.7498
0.62005,34.3056
0.68894,48.7465
0.75784,60.0306
0.82673,53.0187
0.89563,60.0152
0.96452,58.1853
1.03342,65.5089
1.10231,67.4012
1.17121,57.1515
1.24010,54.1390
1.30900,35.1794
1.37789,31.7469
1.44678,33.2777
1.51568,34.4536
1.58457,32.1389
1.65347,21.7501
1.72236,18.2532
1.79126,18.5895
1.86015,19.8333
1.92905,15.4848
1.99794,16.2345
2.06683,11.3428
2.13573,11.4659
2.20462,16.7530
2.27352,12.5928
2.34241,9.5588
2.41131,10.5956
2.48020,15.9998
