Distance_(microns),Value
0.00000,2.2500
0.06889,4.4500
0.13779,4.2833
0.20668,3.2167
0.27558,5.0000
0.34447,11.5834
0.41337,13.9667
0.48226,10.3999
0.55116,21.3498
0.62005,22.0998
0.68894,14.2498
0.75784,10.9164
0.82673,7.3999
0.89563,6.8500
0.96452,6.3499
1.03342,6.0000
1.10231,9.2500
1.17121,11.3333
1.24010,11.1832
1.30900,10.0500
1.37789,10.9167
1.44678,10.5500
1.51568,8.4500
1.58457,14.1167
1.65347,15.3167
1.72236,11.5000
1.79126,9.9666
1.86015,5.5500
1.92905,3.3000
1.99794,4.5000
2.06683,4.2500
2.13573,4.4000
2.20462,4.0667
2.27352,5.1500
2.34241,4.4000
2.41131,0.8333
2.48020,2.4500
2.54910,5.3500
2.61799,4.3833
2.68689,1.3167
2.75578,0.5000
