Distance_(microns),Value
0.00000,5.8334
0.06889,7.1500
0.13779,8.0167
0.20668,9.3168
0.27558,9.0001
0.34447,7.1667
0.41337,9.3501
0.48226,9.7000
0.55116,10.8833
0.62005,12.3667
0.68894,14.5002
0.75784,20.4834
0.82673,23.6167
0.89563,24.6500
0.96452,25.8666
1.03342,27.5833
1.10231,29.5999
1.17121,31.5999
1.24010,34.5499
1.30900,33.3498
1.37789,35.5833
1.44678,35.6833
1.51568,32.3999
1.58457,32.3166
1.65347,28.4500
1.72236,23.7501
1.79126,23.1667
1.86015,22.1167
1.92905,21.0500
1.99794,19.4000
2.06683,17.5000
2.13573,13.6500
2.20462,12.3333
2.27352,12.2333
2.34241,9.6000
2.41131,8.4167
2.48020,7.9667
2.54910,6.5000
2.61799,3.5833
2.68689,4.4000
2.75578,5.2500
