Distance_(microns),Value
0.00000,1.0000
0.06889,3.1300
0.13779,2.4800
0.20668,3.1700
0.27558,6.0400
0.34447,6.7500
0.41337,8.7600
0.48226,24.6400
0.55116,30.4800
0.62005,29.1300
0.68894,22.2000
0.75784,28.7300
0.82673,15.1200
0.89563,12.3100
0.96452,4.5400
1.03342,5.8000
1.10231,6.0000
1.17121,5.6800
1.24010,2.3200
1.30900,2.0000
1.37789,4.4000
1.44678,3.0800
1.51568,3.2800
1.58457,3.0200
1.65347,4.8800
1.72236,1.5000
1.79126,4.3800
1.86015,4.0400
1.92905,3.3600
1.99794,2.9200
2.06683,3.1000
2.13573,5.0000
2.20462,7.5200
2.27352,3.5800
2.34241,3.1600
2.41131,3.0000
2.48020,2.7200
2.54910,3.0000
2.61799,2.0000
2.68689,2.0700
2.75578,0.0000
2.82467,1.6700
2.89357,2.4600
2.96246,2.5900
3.03136,3.7200
3.10025,1.3000
3.16915,3.0000
3.23804,5.5600
3.30694,2.2400
3.37583,4.0000
3.44473,3.0000
