Distance_(microns),Value
0.00000,8.0000
0.06889,9.6100
0.13779,5.0400
0.20668,5.3900
0.27558,10.9600
0.34447,14.7000
0.41337,23.3400
0.48226,32.9100
0.55116,21.4000
0.62005,40.9400
0.68894,25.2000
0.75784,30.7100
0.82673,16.3600
0.89563,5.2400
0.96452,2.1600
1.03342,10.8500
1.10231,7.5200
1.17121,4.4200
1.24010,6.6400
1.30900,4.0000
1.37789,4.8000
1.44678,5.6500
1.51568,4.5600
1.58457,12.9400
1.65347,1.3600
1.72236,5.0000
1.79126,4.7600
1.86015,7.4700
1.92905,8.8800
1.99794,10.1600
2.06683,6.0000
2.13573,1.9400
2.20462,3.3200
2.27352,5.8400
2.34241,3.3600
2.41131,6.0000
2.48020,8.1200
2.54910,9.4800
2.61799,8.7000
2.68689,7.2100
2.75578,3.8000
2.82467,5.6600
2.89357,8.6200
2.96246,6.0500
3.03136,6.1600
3.10025,7.8500
3.16915,1.9600
3.23804,0.8900
3.30694,2.2400
3.37583,2.3700
3.44473,2.5000
