Distance_(microns),Value
0.00000,5.1250
0.06889,5.4778
0.13779,5.3639
0.20668,5.7417
0.27558,8.8250
0.34447,12.7917
0.41337,16.3250
0.48226,23.4917
0.55116,16.5889
0.62005,16.1250
0.68894,10.3889
0.75784,10.3528
0.82673,8.5917
0.89563,10.3583
0.96452,12.6556
1.03342,11.4167
1.10231,7.5083
1.17121,11.5611
1.24010,10.7250
1.30900,11.2528
1.37789,8.4861
1.44678,8.9000
1.51568,8.7694
1.58457,9.1833
1.65347,4.8167
1.72236,7.2222
1.79126,7.3472
1.86015,6.0250
1.92905,7.5111
1.99794,5.3556
2.06683,6.0000
2.13573,3.6750
2.20462,4.6444
2.27352,6.1500
2.34241,4.9944
2.41131,5.1944
2.48020,5.0750
2.54910,2.0972
2.61799,2.6472
2.68689,1.4750
2.75578,3.6528
2.82467,2.7944
2.89357,3.2917
2.96246,3.4333
3.03136,4.1083
3.10025,2.0000
