Distance_(microns),Value
0.00000,31.0000
0.06889,33.5769
0.13779,34.2680
0.20668,45.1091
0.27558,63.1163
0.34447,73.3911
0.41337,66.6440
0.48226,46.8476
0.55116,28.9571
0.62005,18.3199
0.68894,10.4217
0.75784,11.1863
0.82673,17.3546
0.89563,20.3373
0.96452,20.3760
1.03342,19.6814
1.10231,13.7839
1.17121,9.7280
1.24010,11.3816
1.30900,11.2500
1.37789,11.3186
1.44678,10.1735
1.51568,6.6510
1.58457,7.9811
1.65347,6.2548
1.72236,3.6799
1.79126,5.9474
1.86015,5.2905
1.92905,3.2133
1.99794,4.5803
2.06683,3.7825
2.13573,5.6001
2.20462,3.6510
2.27352,2.4868
2.34241,3.1260
2.41131,2.3135
2.48020,3.1053
2.54910,1.6065
2.61799,1.0000
