Distance_(microns),Value
0.00000,16.000
0.06889,18.172
0.13779,20.085
0.20668,23.427
0.27558,18.573
0.34447,20.651
0.41337,30.349
0.48226,29.393
0.55116,34.223
0.62005,37.938
0.68894,56.120
0.75784,56.374
0.82673,62.709
0.89563,76.805
0.96452,94.501
1.03342,99.769
1.10231,118.778
1.17121,145.271
1.24010,135.263
1.30900,154.971
1.37789,145.531
1.44678,130.972
1.51568,120.876
1.58457,110.021
1.65347,98.750
1.72236,79.817
1.79126,87.123
1.86015,52.437
1.92905,41.167
1.99794,33.666
2.06683,40.544
2.13573,40.223
2.20462,33.417
