,hj_area_px2,tip_coords,base_coords,prot_len_px,prot_angle_rad,prot_angle_deg,edge_len_nonstrt_px,edge_len_strt_px,edge_angle_rad,edge_angle_deg,endpoint_1_coords,endpoint_2_coords,cell_s_lab,cell_r_lab,cell_r_area_px,cell_s_area_px,t_step,um_per_px,prot_len_um
0,22.0,"(205, 306)","(205, 308)",1.5555555555555556,3.141592653589793,180.0,18.22276997754072,19.300259065618782,1.859771736787463,106.55707137563665,"(189.5, 313.0)","(208.0, 307.5)",10.0,7.0,2399.0,2228.0,0,0.08846580217295011,0.1376134700468113
1,61.0,"(204, 263)","(206, 260)",3.1834354675641263,-0.5880026035475675,-33.690067525979785,33.0002663856948,33.421549934136806,0.8913825213870482,51.0724564072077,"(191.0, 251.0)","(217.0, 272.0)",12.0,7.0,2399.0,1845.0,0,0.08846580217295011,0.28162517230388096
2,59.0,"(211, 281)","(214, 281)",2.40292984677469,-1.5707963267948966,-90.0,38.410083471247226,38.3275357934736,2.8776289299640885,164.87599269168942,"(207.0, 308.0)","(217.0, 271.0)",14.0,7.0,2399.0,2504.0,0,0.08846580217295011,0.21257711646024702
3,42.0,"(193, 373)","(193, 371)",1.5555555555555556,0.0,0.0,27.62908793082312,28.071337695236398,1.4994888620096063,85.91438322002513,"(181.0, 369.0)","(209.0, 371.0)",10.0,9.0,3435.0,2228.0,0,0.08846580217295011,0.1376134700468113
4,69.0,"(235, 405)","(236, 403)",2.0010277047662814,-0.4636476090008061,-26.56505117707799,44.872402761714625,44.598206241955516,0.7378150601204649,42.27368900609374,"(208.0, 371.0)","(238.0, 404.0)",15.0,9.0,3435.0,2869.0,0,0.08846580217295011,0.17702252107244626
5,27.0,"(224, 443)","(225, 446)",2.9053005523556177,-2.819842099193151,-161.565051177078,16.664223799901812,17.029386365926403,2.2730532583039036,130.2363583092738,"(220.0, 449.0)","(233.0, 438.0)",16.0,9.0,3435.0,3830.0,0,0.08846580217295011,0.25701974391765475
6,60.0,"(231, 430)","(234, 430)",2.518518518369797,-1.5707963267948966,-90.0,35.49097582578327,36.776351096866584,3.0189239980853366,172.9716037610504,"(233.0, 439.5)","(237.5, 403.0)",20.0,9.0,3435.0,3052.0,0,0.08846580217295011,0.2228027610150139
7,37.0,"(196, 314)","(196, 311)",2.4947465136831983,0.0,0.0,18.22276997754072,19.300259065618782,1.859771736787463,106.55707137563665,"(189.5, 313.0)","(208.0, 307.5)",7.0,10.0,2228.0,2399.0,0,0.08846580217295011,0.2206997515511548
8,62.0,"(183, 367)","(183, 370)",2.5185185185185177,3.141592653589793,180.0,27.62908793082312,28.071337695236398,1.4994888620096063,85.91438322002513,"(181.0, 369.0)","(209.0, 371.0)",9.0,10.0,2228.0,3435.0,0,0.08846580217295011,0.22280276102817057
9,72.0,"(215, 322)","(217, 319)",3.1834354675641263,-0.5880026035475675,-33.690067525979785,34.215178533060204,35.0,0.6435011087932844,36.86989764584402,"(207.0, 307.0)","(228.0, 335.0)",14.0,10.0,2228.0,2504.0,0,0.08846580217295011,0.28162517230388096
10,53.0,"(218, 352)","(220, 352)",1.520044357036758,-1.5707963267948966,-90.0,41.70473425596751,42.71123973850443,2.6674742230842905,152.83501494266807,"(208.5, 372.0)","(228.0, 334.0)",15.0,10.0,2228.0,2869.0,0,0.08846580217295011,0.13447194338372298
11,133.0,"(208, 253)","(204, 259)",7.0102527164800446,2.5535900500422257,146.30993247402023,33.0002663856948,33.421549934136806,0.8913825213870482,51.0724564072077,"(191.0, 251.0)","(217.0, 272.0)",7.0,12.0,1845.0,2399.0,0,0.08846580217295011,0.6201676299985097
12,16.0,"(227, 268)","(227, 270)",1.5555555555555556,3.141592653589793,180.0,13.951809677542103,15.20690632574555,1.7359450042095235,99.46232220802563,"(216.0, 271.5)","(231.0, 269.0)",14.0,12.0,1845.0,2504.0,0,0.08846580217295011,0.1376134700468113
13,48.0,"(235, 240)","(238, 239)",2.8978234911350693,-1.2490457723982544,-71.56505117707799,30.302898030170297,31.064449134018133,0.5790742693677309,33.17851165939275,"(223.0, 217.0)","(240.0, 243.0)",18.0,12.0,1845.0,3420.0,0,0.08846580217295011,0.2563582796988827
14,36.0,"(232, 263)","(234, 263)",1.5338556619767658,-1.5707963267948966,-90.0,28.532974726883776,29.567718883945037,2.8144945565840005,161.25865955480728,"(230.5, 270.0)","(240.0, 242.0)",19.0,12.0,1845.0,1995.0,0,0.08846580217295011,0.135693771554296
15,110.0,"(217, 291)","(211, 291)",5.500685869978501,1.5707963267948966,90.0,38.410083471247226,38.3275357934736,2.8776289299640885,164.87599269168942,"(207.0, 308.0)","(217.0, 271.0)",7.0,14.0,2504.0,2399.0,0,0.08846580217295011,0.48662258798906
16,85.0,"(227, 327)","(224, 328)",2.834131232239681,1.892546881191539,108.43494882292202,34.215178533060204,35.0,0.6435011087932844,36.86989764584402,"(207.0, 307.0)","(228.0, 335.0)",10.0,14.0,2504.0,2228.0,0,0.08846580217295011,0.25072369292349495
17,28.0,"(220, 274)","(220, 270)",3.5050170608711633,0.0,0.0,13.951809677542103,15.20690632574555,1.7359450042095235,99.46232220802563,"(216.0, 271.5)","(231.0, 269.0)",12.0,14.0,2504.0,1845.0,0,0.08846580217295011,0.31007414591984334
18,21.0,"(237, 333)","(237, 335)",1.5555555555555556,3.141592653589793,180.0,16.310498237214205,18.0,1.5707963267948966,90.0,"(227.0, 334.5)","(245.0, 334.5)",15.0,14.0,2504.0,2869.0,0,0.08846580217295011,0.1376134700468113
19,132.0,"(236, 284)","(239, 277)",7.321759266987276,-0.40489178628508343,-23.19859051364819,40.66057784746909,40.80441152620633,0.9420000403794636,53.97262661489639,"(230.0, 269.0)","(263.0, 293.0)",19.0,14.0,2504.0,1995.0,0,0.08846580217295011,0.6477253068712605
20,48.0,"(252, 321)","(253, 323)",1.780861522988341,-2.677945044588987,-153.434948822922,34.796795557188986,35.0,2.498091544796509,143.13010235415598,"(244.0, 335.0)","(265.0, 307.0)",22.0,14.0,2504.0,2514.0,0,0.08846580217295011,0.1575453431901052
21,29.0,"(260, 295)","(263, 295)",2.5185185185185177,-1.5707963267948966,-90.0,14.612374606863543,16.194134740701646,0.15499674192394097,8.880659150520245,"(262.5, 292.0)","(265.0, 308.0)",25.0,14.0,2504.0,2961.0,0,0.08846580217295011,0.22280276102817057
22,112.0,"(212, 370)","(210, 373)",3.217847704475736,2.5535900500422257,146.30993247402023,44.872402761714625,44.598206241955516,0.7378150601204649,42.27368900609374,"(208.0, 371.0)","(238.0, 404.0)",9.0,15.0,2869.0,3435.0,0,0.08846580217295011,0.28466947844683205
