,hj_area_px2,tip_coords,base_coords,prot_len_px,prot_angle_rad,prot_angle_deg,edge_len_nonstrt_px,edge_len_strt_px,edge_angle_rad,edge_angle_deg,endpoint_1_coords,endpoint_2_coords,cell_s_lab,cell_r_lab,cell_r_area_px,cell_s_area_px,t_step,um_per_px,prot_len_um
0,63.0,"(222, 374)","(223, 376)",1.780861522988341,-2.677945044588987,-153.434948822922,46.338850281323225,46.30874647407334,2.2337334327750034,127.98349825527708,"(221.0, 378.0)","(257.5, 349.5)",11.0,7.0,3595.0,4444.0,0,0.08846580217295011,0.1575453431901052
1,46.0,"(240, 300)","(240, 297)",2.404859329907493,0.0,0.0,31.55839642224481,31.906112267087632,1.0088747645380813,57.804266065286754,"(231.0, 293.0)","(258.0, 310.0)",12.0,7.0,3595.0,3950.0,0,0.08846580217295011,0.21274780973336962
2,77.0,"(252, 338)","(258, 338)",5.500685871056244,-1.5707963267948966,-90.0,40.394576358116474,41.567758345372695,3.1283300136233434,179.24010670472092,"(256.94871794871796, 350.56410256410254)","(257.5, 309.0)",17.0,7.0,3595.0,3688.0,0,0.08846580217295011,0.4866225880844034
3,66.0,"(271, 429)","(271, 426)",2.5185185185185177,0.0,0.0,45.937468610130495,46.20876540224809,1.3415643935179014,76.86597769360368,"(231.0, 416.0)","(276.0, 426.5)",11.0,8.0,4007.0,4444.0,0,0.08846580217295011,0.22280276102817057
4,65.0,"(265, 464)","(266, 466)",1.780861522988341,-2.677945044588987,-153.434948822922,47.31021783276334,47.60514678057405,2.5127963671743605,143.9726266148964,"(255.0, 486.5)","(283.0, 448.0)",18.0,8.0,4007.0,4036.0,0,0.08846580217295011,0.1575453431901052
5,38.0,"(273, 430)","(276, 429)",2.8906534973958333,-1.2490457723982544,-71.56505117707799,23.767306871354705,24.351591323771842,0.3347368373168147,19.17900802581072,"(275.0, 426.0)","(283.0, 449.0)",21.0,8.0,4007.0,3569.0,0,0.08846580217295011,0.2557239804511661
6,106.0,"(225, 378)","(223, 375)",3.1995050497468895,0.5880026035475675,33.690067525979785,46.338850281323225,46.30874647407334,2.2337334327750034,127.98349825527708,"(221.0, 378.0)","(257.5, 349.5)",7.0,11.0,4444.0,3595.0,0,0.08846580217295011,0.28304678078226325
7,108.0,"(232, 415)","(233, 418)",3.5119984945499017,-2.819842099193151,-161.565051177078,45.937468610130495,46.20876540224809,1.3415643935179014,76.86597769360368,"(231.0, 416.0)","(276.0, 426.5)",8.0,11.0,4444.0,4007.0,0,0.08846580217295011,0.3106917640505502
8,61.0,"(275, 360)","(275, 357)",2.489929594305519,0.0,0.0,41.75409293703001,41.58425182686349,1.2528480354436053,71.78290480217515,"(256.5, 349.5)","(296.0, 362.5)",17.0,11.0,4444.0,3688.0,0,0.08846580217295011,0.22027361891440597
9,72.0,"(282, 417)","(283, 419)",1.780861522988341,-2.677945044588987,-153.434948822922,50.02553202335949,50.0,2.498091544796509,143.13010235415598,"(275.0, 427.0)","(305.0, 387.0)",21.0,11.0,4444.0,3569.0,0,0.08846580217295011,0.1575453431901052
