,hj_area_px2,tip_coords,base_coords,prot_len_px,prot_angle_rad,prot_angle_deg,edge_len_nonstrt_px,edge_len_strt_px,edge_angle_rad,edge_angle_deg,endpoint_1_coords,endpoint_2_coords,cell_s_lab,cell_r_lab,cell_r_area_px,cell_s_area_px,t_step,um_per_px,prot_len_um
0,78.0,"(243, 377)","(247, 377)",3.506172839506172,-1.5707963267948966,-90.0,34.99815529061855,33.83784863137726,0.5961991412974801,34.15969454566943,"(246.0, 369.0)","(265.0, 397.0)",18.0,8.0,3460.0,2064.0,0,0.08846580217295011,0.3101763928039238
1,96.0,"(260, 411)","(262, 416)",5.069527285957206,-2.761086276477428,-158.19859051364818,34.48275914908303,32.22188697143605,2.411084352786499,138.14495746469802,"(246.5, 435.0)","(268.0, 411.0)",19.0,8.0,3460.0,2057.0,0,0.08846580217295011,0.44847979798986287
2,46.0,"(260, 410)","(266, 408)",5.9757415140283525,-1.2490457723982544,-71.56505117707799,16.07583598638999,16.278820596099706,0.18534794999569476,10.619655276155134,"(265.0, 396.0)","(268.0, 412.0)",22.0,8.0,3460.0,2704.0,0,0.08846580217295011,0.5286487666167176
3,55.0,"(247, 269)","(247, 272)",2.5185185185185177,3.141592653589793,180.0,44.811067881549015,45.83121207212395,1.4505008498669425,83.10757687751486,"(244.5, 271.0)","(290.0, 276.5)",15.0,14.0,2845.0,2625.0,0,0.08846580217295011,0.22280276102817057
4,50.0,"(277, 229)","(277, 223)",5.3727088173215956,0.0,0.0,12.875679390952104,14.080127840328723,1.464060654145761,83.8844964337146,"(269.0, 223.5)","(283.0, 225.0)",17.0,14.0,2845.0,2683.0,0,0.08846580217295011,0.47530099536603704
5,76.0,"(280, 230)","(284, 228)",4.297101555056376,-1.1071487177940904,-63.43494882292201,42.83515284399195,43.30415684434925,0.629645182646156,36.0760115563686,"(282.5, 224.0)","(308.0, 259.0)",27.0,14.0,2845.0,2280.0,0,0.08846580217295011,0.3801465360866936
6,43.0,"(296, 268)","(297, 270)",1.780861522988341,-2.677945044588987,-153.434948822922,26.03277569525348,27.225906780123964,2.3691807731125176,135.74405920288874,"(289.0, 277.0)","(308.0, 257.5)",30.0,14.0,2845.0,2401.0,0,0.08846580217295011,0.1575453431901052
7,115.0,"(255, 275)","(255, 271)",3.506172839506172,0.0,0.0,44.811067881549015,45.83121207212395,1.4505008498669425,83.10757687751486,"(244.5, 271.0)","(290.0, 276.5)",14.0,15.0,2625.0,2845.0,0,0.08846580217295011,0.3101763928039238
8,86.0,"(300, 306)","(302, 310)",4.1763240639646755,-2.677945044588987,-153.434948822922,45.678763058840055,45.31004303683677,1.9554010416171101,112.03622694014545,"(267.0, 323.0)","(309.0, 306.0)",24.0,15.0,2625.0,2527.0,0,0.08846580217295011,0.36946185845283
9,87.0,"(301, 305)","(304, 302)",3.8895722806008948,-0.7853981633974483,-45.0,37.143984169267554,36.89173349139343,0.5729661428887062,32.82854179141253,"(289.0, 276.0)","(309.0, 307.0)",30.0,15.0,2625.0,2401.0,0,0.08846580217295011,0.3440941319130291
